Course,Section,Term,Department,Instructor,Student Headcount,Avg Course Grade,Percent A,Percent AB,Percent B,Percent BC,Percent C,Percent P/S,Percent D,Percent U/F,Percent W,Percent Other
ACC 221: Accounting Principles I,1,Fall 2017,ACCDEPT,Sergey Komissarov,33,2.56,3.03,18.18,30.3,27.27,9.09,0,3.03,3.03,6.06,0
ACC 221: Accounting Principles I,2,Fall 2017,ACCDEPT,Sergey Komissarov,32,2.67,12.5,3.13,34.38,18.75,25,0,6.25,0,0,0
ACC 221: Accounting Principles I,3,Fall 2017,ACCDEPT,Julie Ancius,36,2.57,8.33,22.22,27.78,13.89,13.89,0,0,11.11,2.78,0
ACC 221: Accounting Principles I,4,Fall 2017,ACCDEPT,Julie Ancius,35,2.7,17.14,11.43,34.29,8.57,17.14,0,2.86,5.71,2.86,0
ACC 221: Accounting Principles I,5,Fall 2017,ACCDEPT,William Maas,32,2.56,9.38,9.38,37.5,9.38,21.88,0,6.25,6.25,0,0
ACC 221: Accounting Principles I,6,Fall 2017,ACCDEPT,Gregory Liyana Arachchige,34,2.85,20.59,20.59,17.65,20.59,11.76,0,2.94,0,5.88,0
ACC 221: Accounting Principles I,7,Fall 2017,ACCDEPT,Gregory Liyana Arachchige,40,3.26,40,17.5,27.5,5,5,0,0,2.5,2.5,0
ACC 221: Accounting Principles I,8,Fall 2017,ACCDEPT,Julie Ancius,35,2.7,17.14,11.43,40,8.57,5.71,0,8.57,2.86,5.71,0
ACC 221: Accounting Principles I,9,Fall 2017,ACCDEPT,Julie Ancius,36,2.74,13.89,19.44,41.67,5.56,5.56,0,0,8.33,5.56,0
ACC 221: Accounting Principles I,10,Fall 2017,ACCDEPT,William Maas,36,2.47,13.89,16.67,22.22,11.11,16.67,0,5.56,5.56,8.33,0
ACC 221: Accounting Principles I,11,Fall 2017,ACCDEPT,Gregory Liyana Arachchige,36,2.69,19.44,13.89,25,19.44,8.33,0,2.78,2.78,8.33,0
ACC 222: Accounting Principles II,1,Fall 2017,ACCDEPT,Steven Thornburg,30,2.32,3.33,16.67,20,13.33,30,0,6.67,6.67,3.33,0
ACC 222: Accounting Principles II,2,Fall 2017,ACCDEPT,Steven Thornburg,30,2.12,6.67,6.67,20,16.67,26.67,0,6.67,10,6.67,0
